True,Diesel Generator 1,Diesel Generator 2,Diesel Generator 3,Diesel Generator 1: At Sea Mechanical Loading,Diesel Generator 1: At Sea Electrical Loading,Diesel Generator 1: Harbor Mechanical Loading,Diesel Generator 1: Harbor Electrical Loading,Diesel Generator 1: Dock Mechanical Loading,Diesel Generator 1: Dock Electrical Loading,Diesel Generator 2: At Sea Mechanical Loading,Diesel Generator 2: At Sea Electrical Loading,Diesel Generator 2: Harbor Mechanical Loading,Diesel Generator 2: Harbor Electrical Loading,Diesel Generator 2: Dock Mechanical Loading,Diesel Generator 2: Dock Electrical Loading,Diesel Generator 3: At Sea Mechanical Loading,Diesel Generator 3: At Sea Electrical Loading,Diesel Generator 3: Harbor Mechanical Loading,Diesel Generator 3: Harbor Electrical Loading,Diesel Generator 3: Dock Mechanical Loading,Diesel Generator 3: Dock Electrical Loading,Iteration Time
10,1500.0,999.9999369157205,500.00001922815073,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.767624616622925
11,1500.0,999.9996740623999,500.0000993052273,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5551958084106445
12,1500.0000000149012,999.9996740623999,500.0000993052273,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5382378101348877
13,1500.0,999.999674077301,500.0000993052273,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5192840099334717
14,1500.0,999.9996740623999,500.00009932012847,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5950980186462402
15,1500.0,999.9983597957969,500.0004997651161,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.7765729427337646
16,1500.0000000149012,999.9983597957969,500.0004997651161,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6329879760742188
17,1500.0,999.998359810698,500.0004997651161,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5442211627960205
18,1500.0,999.9983597957969,500.00049978001726,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6858718395233154
19,1500.0,999.991787396735,500.0025023865507,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.533228874206543
20,1500.0000000149012,999.991787396735,500.0025023865507,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.551204204559326
21,1500.0,999.9917874116362,500.0025023865507,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.9382071495056152
22,1500.0,999.991787396735,500.00250240145186,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.677867889404297
23,1500.0,999.9589307284966,500.01251387339175,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5990750789642334
24,1500.0000000149012,999.9589307284966,500.01251387339175,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.535248279571533
25,1500.0,999.9589307433978,500.01251387339175,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.546250343322754
26,1500.0,999.9589307284966,500.0125138882929,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.56416916847229
27,1500.0,999.7947249877899,500.0625476403187,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.561210870742798
28,1500.0000000149012,999.7947249877899,500.0625476403187,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.531226873397827
29,1500.0,999.794725002691,500.0625476403187,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.694796562194824
30,1500.0,999.7947249877899,500.0625476552199,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5143373012542725
31,1500.0,998.9753004101659,500.31222762742084,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.551211357116699
32,1500.0000000149012,998.9753004101659,500.31222762742084,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5911011695861816
33,1500.0,998.9753004250671,500.31222762742084,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.614006519317627
34,1500.0,998.9753004101659,500.312227642322,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.864408016204834
35,1500.0,994.920886992322,501.54761356020185,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.8504087924957275
36,1500.0000000149012,994.920886992322,501.54761356020185,0.0,-7.924927890241245e-18,0.0,664.845085659307,0.0,335.1549143406929,0.0,4.99519650433328e-19,0.0,36.10594412140739,0.0,463.8940558785926,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,20.616034269332886
37,1500.0,994.9208870072232,501.54761356020185,0.0,-7.924927890241245e-18,0.0,664.845085659307,0.0,335.1549143406929,0.0,4.99519650433328e-19,0.0,36.10594412140739,0.0,463.8940558785926,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.610032558441162
38,1500.0,994.920886992322,501.547613575103,0.0,-7.924927890241245e-18,0.0,664.845085659307,0.0,335.1549143406929,0.0,4.99519650433328e-19,0.0,36.10594412140739,0.0,463.8940558785926,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6289825439453125
39,1500.0,974.5688055712632,507.74892718816056,0.0,-7.924927890241245e-18,0.0,664.845085659307,0.0,335.1549143406929,0.0,4.99519650433328e-19,0.0,36.10594412140739,0.0,463.8940558785926,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.7227323055267334
40,1500.0000000149012,974.5688055712632,507.74892718816056,0.0,6.458532341069499e-20,0.0,657.462743590956,0.0,342.53725640904406,0.0,1.0076194839023345e-18,0.0,24.935065985480115,0.0,475.0649340145199,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,25.71535873413086
41,1500.0,974.5688055861643,507.74892718816056,0.0,6.458532341069499e-20,0.0,657.462743590956,0.0,342.53725640904406,0.0,1.0076194839023345e-18,0.0,24.935065985480115,0.0,475.0649340145199,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.576122999191284
42,1500.0,974.5688055712632,507.7489272030617,0.0,6.458532341069499e-20,0.0,657.462743590956,0.0,342.53725640904406,0.0,1.0076194839023345e-18,0.0,24.935065985480115,0.0,475.0649340145199,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.624992847442627
43,1500.0,876.5622507516074,537.6117032138646,0.0,6.458532341069499e-20,0.0,657.462743590956,0.0,342.53725640904406,0.0,1.0076194839023345e-18,0.0,24.935065985480115,0.0,475.0649340145199,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6140224933624268
44,1500.0000000149012,876.5622507516074,537.6117032138646,0.0,-5.359350761824055e-19,0.0,619.8405058948638,0.0,380.1594941051363,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,21.53252410888672
45,1500.0,876.5622507665086,537.6117032138646,0.0,-5.359350761824055e-19,0.0,619.8405058948638,0.0,380.1594941051363,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.9112279415130615
46,1500.0,876.5622507516074,537.6117032287658,0.0,-5.359350761824055e-19,0.0,619.8405058948638,0.0,380.1594941051363,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.92918062210083
47,1500.0,733.2242672813633,581.2870698990238,0.0,-5.359350761824055e-19,0.0,619.8405058948638,0.0,380.1594941051363,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.795541763305664
48,1500.0000000149012,733.2242672813633,581.2870698990238,0.0,5.199851121162331e-18,0.0,557.7923418955959,0.0,442.20765810440423,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,13.38726544380188
49,1500.0,733.2242672962644,581.2870698990238,0.0,5.199851121162331e-18,0.0,557.7923418955959,0.0,442.20765810440423,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.663888692855835
50,1500.0,733.2242672813633,581.2870699139249,0.0,5.199851121162331e-18,0.0,557.7923418955959,0.0,442.20765810440423,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.650925397872925
51,1500.0,791.7961172560418,563.4401282927148,0.0,5.199851121162331e-18,0.0,557.7923418955959,0.0,442.20765810440423,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6778509616851807
52,1500.0000000149012,791.7961172560418,563.4401282927148,0.0,4.590363904885419e-19,0.0,584.249699698624,0.0,415.750300301376,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,12.364994525909424
53,1500.0,791.796117270943,563.4401282927148,0.0,4.590363904885419e-19,0.0,584.249699698624,0.0,415.750300301376,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.868345022201538
54,1500.0,791.7961172560418,563.440128307616,0.0,4.590363904885419e-19,0.0,584.249699698624,0.0,415.750300301376,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6529173851013184
55,1500.0,787.2607665117984,564.8220733060418,0.0,4.590363904885419e-19,0.0,584.249699698624,0.0,415.750300301376,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6269893646240234
56,1500.0000000149012,787.2607665117984,564.8220733060418,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,12.18447494506836
57,1500.0,787.2607665266995,564.8220733060418,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5681450366973877
58,1500.0,787.2607665117984,564.822073320943,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6060433387756348
59,1500.0,787.0176815463783,564.896158506014,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.639953136444092
60,1500.0,787.1859275736188,564.8448820292846,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5910840034484863
61,1500.0000000149012,787.1859275736188,564.8448820292846,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6409494876861572
62,1500.0,787.1859275885199,564.8448820292846,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,3.008967876434326
63,1500.0,787.1859275736188,564.8448820441857,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.7696073055267334
64,1500.0,787.1922446095028,564.8429734915916,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.578118085861206
65,1500.0000000149012,787.1922446095028,564.8429734915916,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6898202896118164
66,1500.0,787.192244624404,564.8429734915916,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6359639167785645
67,1500.0,787.1922446095028,564.8429735064927,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.623995542526245
68,1500.0,787.1926400277165,564.842963216327,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6130566596984863
69,1500.0000000149012,787.1926400277165,564.842963216327,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6289796829223633
70,1500.0,787.1926400426177,564.842963216327,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6030213832855225
71,1500.0,787.1926400277165,564.8429632312282,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.654911994934082
72,1500.0,787.185257165879,564.8457657441706,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6419777870178223
73,1500.0000000149012,787.185257165879,564.8457657441706,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.7695767879486084
74,1500.0,787.1852571807801,564.8457657441706,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.636991024017334
75,1500.0,787.185257165879,564.8457657590718,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.651888608932495
76,1500.0,787.1556301625491,564.8575574190887,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.632972002029419
77,1500.0000000149012,787.1556301625491,564.8575574190887,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.644942045211792
78,1500.0,787.1556301774502,564.8575574190887,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6449384689331055
79,1500.0,787.1556301625491,564.8575574339899,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6389899253845215
80,1500.0,787.1088339885274,564.8857804443686,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.670865058898926
81,1500.0000000149012,787.1088339885274,564.8857804443686,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.611029624938965
82,1500.0,787.1088340034286,564.8857804443686,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6688764095306396
83,1500.0,787.1088339885274,564.8857804592698,0.0,7.15986493250065e-20,0.0,582.2584712914976,0.0,417.74152870850247,0.0,-1.1467701789541009e-20,0.0,2.202678612033324e-14,0.0,500.0,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.726724863052368
