Engine,BHP,eKW,100% BSFC,90% BSFC,80% BSFC,75% BSFC,70% BSFC,60% BSFC,50% BSFC,40% BSFC,30% BSFC,25% BSFC,20% BSFC,10% BSFC,100% NOX,75% NOX,50% NOX,25% NOX,10% NOX,100% CO,75% CO,50% CO,25% CO,10% CO,100% HC,75% HC,50% HC,25% HC,10% HC,100% CO2,75% CO2,50% CO2,25% CO2,10% CO2,100% PM,75% PM,50% PM,25% PM,10% PM
C18 T3,803,550,0.352,0.347,0.346,0.349,0.353,0.361,0.372,0.387,0.411,0.428,0.45,0.55,3519,2613,1337,534,323,232,143,151,144,414,26,29,40,33,79,408,302,214,124,64,36.2,20.9,22.6,23.8,39.1
C32 T3,1333,1333,0.357,0.365,0.372,0.374,0.374,0.38,0.388,0.393,0.403,0.411,0.425,0.523,5853,3465,1989,983,585,230,162,153,374,591,54,66,65,65,91,671,530,366,195,98,24.3,23.1,27.2,48,49.8
C32 T4,1327,940,0.336,0.334,0.334,0.334,0.335,0.34,0.344,0.355,0.38,0.396,0.407,0.598,866,737,520,331,747,649,377,216,280,231,22,17,12,12,9,634,474,326,190,112,12.7,12.8,10.5,15.7,15.2
